n,primes,n/log(n)
370,73,62.5686646
371,73,62.7091484
372,73,62.8495827
373,74,62.9899635
374,74,63.1302910
375,74,63.2705727
376,74,63.4108009
377,74,63.5509796
378,74,63.6911125
379,75,63.8311882
380,75,63.9712181
381,75,64.1111984
382,75,64.2511292
383,76,64.3910141
384,76,64.5308456
385,76,64.6706314
386,76,64.8103638
387,76,64.9500580
388,76,65.0896912
389,77,65.2292862
390,77,65.3688202
391,77,65.5083160
392,77,65.6477661
393,77,65.7871628
394,77,65.9265213
395,77,66.0658264
396,77,66.2050781
397,78,66.3442917
398,78,66.4834518
399,78,66.6225739
400,78,66.7616425
401,79,66.9006653
402,79,67.0396423
403,79,67.1785736
404,79,67.3174591
405,79,67.4562988
406,79,67.5950928
407,79,67.7338409
408,79,67.8725433
409,80,68.0112000
410,80,68.1498184
411,80,68.2883835
412,80,68.4269104
413,80,68.5653839
414,80,68.7038193
415,80,68.8422089
416,80,68.9805527
417,80,69.1188507
418,80,69.2571106
419,81,69.3953247
420,81,69.5334930
421,82,69.6716156
422,82,69.8097000
423,82,69.9477386
424,82,70.0857315
425,82,70.2236862
426,82,70.3615875
427,82,70.4994583
428,82,70.6372833
429,82,70.7750626
430,82,70.9128036
431,83,71.0504990
432,83,71.1881485
433,84,71.3257599
434,84,71.4633331
435,84,71.6008606
436,84,71.7383423
437,84,71.8757935
438,84,72.0131912
439,85,72.1505508
440,85,72.2878723
441,85,72.4251480
442,85,72.5623856
443,86,72.6995850
444,86,72.8367386
445,86,72.9738541
446,86,73.1109314
447,86,73.2479630
448,86,73.3849640
449,87,73.5219116
450,87,73.6588211
451,87,73.7957001
452,87,73.9325333
453,87,74.0693283
454,87,74.2060776
455,87,74.3427887
456,87,74.4794693
457,88,74.6161041
458,88,74.7527008
459,88,74.8892517
460,88,75.0257721
461,89,75.1622467
462,89,75.2986908
463,90,75.4350891
464,90,75.5714569
465,90,75.7077789
466,90,75.8440628
467,91,75.9803085
468,91,76.1165161
469,91,76.2526855
470,91,76.3888168
471,91,76.5249176
472,91,76.6609726
473,91,76.7969971
474,91,76.9329758
475,91,77.0689163
476,91,77.2048264
477,91,77.3406906
478,91,77.4765244
479,92,77.6123199
480,92,77.7480774
481,92,77.8838043
482,92,78.0194778
483,92,78.1551285
484,92,78.2907410
485,92,78.4263153
486,92,78.5618515
487,93,78.6973572
488,93,78.8328171
489,93,78.9682465
490,93,79.1036377
491,94,79.2389984
492,94,79.3743134
493,94,79.5095978
494,94,79.6448441
495,94,79.7800598
496,94,79.9152374
497,94,80.0503845
498,94,80.1854935
499,95,80.3205643
500,95,80.4555969
501,95,80.5905991
