Shaft Angle[degrees],Shaft Angle[radians],Excitation Amplitude (sin(shaft angle))
221,3.85717773,-3.71123052
222,3.87463093,-3.78517437
223,3.89208412,-3.85796475
224,3.90953755,-3.92958117
225,3.92699075,-3.99999952
226,3.94444418,-4.06920052
227,3.96189737,-4.13716125
228,3.97935057,-4.20386124
229,3.99680400,-4.26928234
230,4.01425743,-4.33340216
231,4.03171062,-4.39620161
232,4.04916382,-4.45766163
233,4.06661701,-4.51776409
234,4.08407021,-4.57649040
235,4.10152388,-4.63382387
236,4.11897707,-4.68974495
237,4.13643026,-4.74423695
238,4.15388346,-4.79728413
239,4.17133665,-4.84886980
240,4.18879032,-4.89897966
241,4.20624352,-4.94759607
242,4.22369671,-4.99470568
243,4.24114990,-5.04029369
244,4.25860357,-5.08434725
245,4.27605677,-5.12685108
246,4.29350996,-5.16779327
247,4.31096315,-5.20716143
248,4.32841635,-5.24494362
249,4.34587002,-5.28112888
250,4.36332321,-5.31570435
251,4.38077641,-5.34866047
252,4.39822960,-5.37998772
253,4.41568279,-5.40967607
254,4.43313646,-5.43771744
255,4.45058966,-5.46410179
256,4.46804285,-5.48882151
257,4.48549604,-5.51186943
258,4.50294924,-5.53323793
259,4.52040291,-5.55292225
260,4.53785610,-5.57091427
261,4.55530930,-5.58720875
262,4.57276249,-5.60180187
263,4.59021568,-5.61468887
264,4.60766935,-5.62586546
265,4.62512255,-5.63532829
266,4.64257574,-5.64307404
267,4.66002893,-5.64910126
268,4.67748213,-5.65340805
269,4.69493580,-5.65599251
270,4.71238899,-5.65685415
271,4.72984219,-5.65599251
272,4.74729538,-5.65340805
273,4.76474905,-5.64910126
274,4.78220224,-5.64307404
275,4.79965544,-5.63532829
276,4.81710863,-5.62586546
277,4.83456182,-5.61468887
278,4.85201550,-5.60180187
279,4.86946869,-5.58720875
280,4.88692188,-5.57091379
281,4.90437508,-5.55292225
282,4.92182827,-5.53323841
283,4.93928194,-5.51186895
284,4.95673513,-5.48882151
285,4.97418833,-5.46410131
286,4.99164152,-5.43771744
287,5.00909472,-5.40967703
288,5.02654839,-5.37998772
289,5.04400158,-5.34866047
290,5.06145477,-5.31570387
291,5.07890797,-5.28112841
292,5.09636116,-5.24494410
293,5.11381483,-5.20716143
294,5.13126802,-5.16779327
295,5.14872122,-5.12685108
296,5.16617441,-5.08434725
297,5.18362761,-5.04029465
298,5.20108128,-4.99470568
299,5.21853447,-4.94759607
300,5.23598766,-4.89897966
301,5.25344086,-4.84887123
302,5.27089453,-4.79728365
303,5.28834772,-4.74423647
304,5.30580091,-4.68974495
305,5.32325411,-4.63382387
306,5.34070730,-4.57649183
307,5.35816097,-4.51776409
308,5.37561417,-4.45766163
309,5.39306736,-4.39620161
310,5.41052055,-4.33340216
311,5.42797375,-4.26928282
312,5.44542742,-4.20386124
313,5.46288061,-4.13716078
314,5.48033381,-4.06920052
315,5.49778700,-4.00000048
316,5.51524019,-3.92958188
317,5.53269386,-3.85796475
318,5.55014706,-3.78517389
319,5.56760025,-3.71123052
320,5.58505344,-3.63615656
321,5.60250664,-3.55997491
322,5.61996031,-3.48270655
323,5.63741350,-3.40437961
324,5.65486670,-3.32501578
325,5.67231989,-3.24463892
326,5.68977308,-3.16327405
327,5.70722675,-3.08094311
328,5.72467995,-2.99767590
329,5.74213314,-2.91349554
330,5.75958633,-2.82842803
331,5.77704000,-2.74249649
332,5.79449320,-2.65573168
333,5.81194639,-2.56815815
334,5.82939959,-2.47980213
335,5.84685278,-2.39069104
336,5.86430645,-2.30084896
337,5.88175964,-2.21030855
338,5.89921284,-2.11909509
339,5.91666603,-2.02723598
340,5.93411922,-1.93475926
341,5.95157290,-1.84169078
342,5.96902609,-1.74806380
343,5.98647928,-1.65390432
344,6.00393248,-1.55924118
345,6.02138567,-1.46410298
346,6.03883934,-1.36851621
347,6.05629253,-1.27251518
348,6.07374573,-1.17612648
349,6.09119892,-1.07937956
350,6.10865211,-0.982303917
351,6.12610579,-0.884926319
352,6.14355898,-0.787281871
353,6.16101217,-0.689397573
354,6.17846537,-0.591303349
355,6.19591856,-0.493028939
356,6.21337223,-0.394601673
357,6.23082542,-0.296056896
358,6.24827862,-0.197421953
359,6.26573181,-0.987268612E-01
360,6.28318548,0.989075829E-06
